Name|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
diaper changing table in toilet / toilet compartment|changing_table=yes, changing_table=no, changing_table=limited, changing_table:count=user defined, changing_table:fee=yes, changing_table:fee=no, changing_table:location=female_toilet, changing_table:location=male_toilet, changing_table:location=unisex_toilet, changing_table:location=wheelchair_toilet||Facility daily needs|Toilet / toilet compartment|diaper changing table|||Restroom#toilet
different / uniform sign|information=board, information=guidepost|sign=different, sign=uniform, sign=yes|General help for orientation / Technical assistance|Rooms / venues / offices|sign|different / uniform||Restroom#signIcons
different forms and sizes|step.condition=rough|||||||Stairs#stepHeight
different sizes and may be slightly tilted|step.condition=uneven||Change Elevation|Stairs|dimension [3]|varying heights of stairs||Stairs#stepHeight
digital display|display=digital|||||||
dimension of accessible parking|access=yes, access:disabled=yes, amenity=parking, height=user defined, length=user defined, wheelchair=yes, width=user defined|accessible_parking=yes|Way to building|Accessible parking|dimension [1]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#count, WheelchairParking#distanceToEntrance, WheelchairParking#hasDedicatedSignage, WheelchairParking#isLocatedInside, WheelchairParking#length, WheelchairParking#location, WheelchairParking#maxVehicleHeight, WheelchairParking#neededParkingPermits, WheelchairParking#paymentBySpace, WheelchairParking#paymentByZone, WheelchairParking#width
dimension of curb ramp / curb cuts|height=user defined, kerb=flush, kerb=lowered, kerb=no, kerb=yes, length=user defined, width=user defined|curb_ramp=yes|Way to building|Curb ramp / curb cuts|dimension [2]|||
dimension of doorway|door=yes, height=user defined, length=user defined, width=user defined||Building characteristics|Doorways|dimension [4]|||Door#width, EquipmentProperties#door
dimension of drinking fountain|amenity=drinking_water, height=user defined, length=user defined, width=user defined||Facility daily needs|Drinking fountain|dimension [5]|||AnimalPolicy#suppliesWaterForPets
dimension of escalators|escalator=parallel, escalator=yes, height=user defined, length=user defined, width=user defined||Change Elevation|Escalators|dimension [7]|||
dimension of exterior accessible route|access=yes, access:disabled=yes, height=user defined, length=user defined, wheelchair=yes, width=user defined|route=accessible|Way to building|Exterior accessible route|dimension [9]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Pathways#width, Pathways#widthAtObstacles, PlaceInfo#accessibility
dimension of floor (pathway)|height=user defined, highway=corridor, highway=footway, highway=path, length=user defined, width=user defined||Building characteristics|Floor (pathway)|dimension [10]|||Pathways#width, Pathways#widthAtObstacles
dimension of public telephone|amenity=telephone, height=user defined, length=user defined, width=user defined||Facility daily needs|Public telephone|dimension [11]|||
dimension of ramp|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimension [12]|||
dimension of space on both sides of the doorway|door=yes, height=user defined, length=user defined, width=user defined||Building characteristics|Doorways|dimension [4]|space on both sides||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront
dimension of stairs|highway=steps, height=user defined, length=user defined, room=stairs, width=user defined||Change Elevation|Stairs|dimension [3]|||Stairs#count, Stairs#stepHeight
dimension of the clear floor space on a platform lift|elevator=lift, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Platform lift|clear floor space [2]|dimensions [1]||Ground#turningSpace, Media#turningSpaceInFront
dimension of the space between two consecutive doors|door=yes, height=user defined, length=user defined, width=user defined|clear_floor_space=yes|Building characteristics|Doorways|space between two consecutive doors|dimensions [2]||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront
dimension of toilet / toilet compartment|building=toilets, height=user defined, length=user defined, room=toilet, toilets=yes, width=user defined||Facility daily needs|Toilet / toilet compartment|dimension [6]|||EquipmentProperties#cabinLength, EquipmentProperties#cabinWidth, Restroom#toilet, Toilet#heightOfBase, Toilet#spaceInFront, Toilet#spaceOnUsersLeftSide, Toilet#spaceOnUsersRightSide
dimension of undercutting of stairs in cm|highway=steps, height=user defined, length=user defined, room=stairs, width=user defined||Change Elevation|Stairs|dimension [3]|undercutting in cm [unterschneidung]||
dimension of wheelchair space (seatings)|height=user defined, length=user defined, wheelchair=yes, width=user defined|clear_floor_space=yes, wheelchair_space=yes|Movables|Wheelchair space (seatings)|dimension [8]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair, WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
dimension: depth of service desk/counter top|height=user defined, length=user defined, reception_desk=no, reception_desk=yes, room=information, security_desk=no, security_desk=yes, width=user defined||Facility daily needs|Services|service desks|dimension: depth (should be same as counter top)||
dimension: height (for at least one portion of each type of counter), height of the counter dimension: surface|height=user defined, reception_desk=no, reception_desk=yes, room=information, security_desk=no, security_desk=yes||Facility daily needs|Services|service desks|dimension: height (for at least one portion of each type of counter), height of the counter dimension: surface||
dimensions inside elevator|elevator=lift, elevator=yes, height=user defined, length=user defined, width=user defined||Change Elevation|Elevator|dimensions inside|||
dimensions of benches|amenity=bench, height=user defined, length=user defined, room=benchs, width=user defined||Movables|Benches|dimensions [1]|||
dimensions of board|height=user defined, information=board, length=user defined, width=user defined||General help for orientation / Technical assistance|Technology|dimensions of board|||
dimensions of tables|amenity=table, height=user defined, length=user defined, width=user defined||Movables|Tables|dimensions [2]|||
dimensions of the level landing at the top and bottom of the ramp|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimensions of the level landing at the top and bottom of the ramp|||
dimensions of the level landing where the ramp changes direction|height=user defined, length=user defined, ramp=separate, ramp=yes, width=user defined||Change in Ground Height|Ramp|dimensions of the level landing where the ramp changes direction|||
dimensions outside the elevator|elevator=lift, elevator=yes, height=user defined, length=user defined, width=user defined||Change Elevation|Elevator|dimensions outside|||
dining room|room=dining||General help for orientation / Technical assistance|Rooms / venues / offices|type [15]|food: dining areas||PlaceInfo#category, StructuredAddress#room
directed light source emits light mostly in one direction|light:shape=directed|||||||
directed light source emits most of its light eastwards|light:direction=E|||||||
directed light source emits most of its light northwards|light:direction=N|||||||
directed light source emits most of its light southwards|light:direction=S|||||||
directed light source emits most of its light westwards|light:direction=W|||||||
direction of elevator|direction=backward, directio=down, direftion=forward, direction=up, elevator=lift, elevator=yes, level=user defined||Change Elevation|Elevator|direction [1]|||
direction of platform lift|direction=backward, direction=down, direction=forward, direction=up, elevator=lift, elevator=yes, level=user defined||Change Elevation|Platform lift|direction [2]|||
direction of travel of escalators|direction=backward, direction=down, direction=forward, direction=up, escalator=no, escalator=parallel, escalator=yes, incline=up, incline=down||Change Elevation|Escalators|direction of travel [2]|||
direction of travel of floor (pathway)|direction=backward, direction=down, direction=forward, direction=up, highway=corridor, highway=footway, highway=path||Building characteristics|Floor (pathway)|direction of travel [3]|||
direction of travel of stairs|direction=backward, direction=down, direction=forward, direction=up, highway=steps, incline=down, incline=up, room=stairs||Change Elevation|Stairs|direction of travel [1]|||
direction of travel on stairs: up or down|direction=backward, direction=down, direction=forward, direction=up, highway=steps, incline=down, incline=up, room=stairs||Change Elevation|Stairs|direction of travel [1]|up or down||
direction sign|information=guidepost|sign=direction, sign=yes|General help for orientation / Technical assistance|Signage|type [2]|direction sign||Restroom#signIcons
direction sign to phone|amenity=telephone, information=guidepost|sign=direction, sign=phone, sign=yes|Facility daily needs|Public telephone|signs [2]|direction to phone ||
direction sign to tty|information=guidepost|sign=direction, sign=tty, sign=yes|Facility daily needs|Public telephone|signs [2]|direction to tty||
directions to adjacent escalator(s)|direction=backward, direction=down, direction=forward, direction=up, escalator=no, escalator=parallel, escalator=yes||Change Elevation|Escalators|directions to adjacent escalator(s)|||
disconnector is capable to open circuits when a negligible current have to be broken|switch=disconnector|||||||
disinfectant dispenser in toilet / toilet compartment|building=toilety, handwashing:hand_disinfectant=yes, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|disinfectant dispenser|||Restroom#toilet
dispersed location of wheelchair space (seatings)||clear_floor_space=yes, location=dispersed, wheelchair_spaces=yes|Movables|Wheelchair space (seatings)|location (dispersed)|||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
dispersed location of wheelchair spaces (seatings) allow location choices and viewing angles equivalent to other seating||clear_floor_space=yes, line_of_sight=equivalent, location=dispersed, wheelchair_spaces=yes|Movables|Wheelchair space (seatings)|location (dispersed)|to allow location choices and viewing angles equivalent to other seating||WheelchairPlaces#count, WheelchairPlaces#hasSpaceForAssistant
distance from barrier-free access to the elevator in m|access=yes, elevator=yes, highway=elevator, lenght=user defined, room=elevator||Building characteristics|Doorways|distance|distance from barrier-free access to the elevator in m||PlaceInfo#accessibility
distance from handrail to adjacent components in cm|handrail=both, handrail=center, handrail=left handrail=multiple, handrail=no, handrail=none, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes, length=user defined||Change Elevation|Stairs|handrail [3]|distance to adjacent components in cm||Stairs#hasHandRail
distance from wheelchair parking space to entrance|amenity=parking, amenity=parking_space, disabled=user defined, disabled_space=user defined, entrance=yes, length=user defined, parking_space=disabled|||||||WheelchairParking#distanceToEntrance, WheelchairParking#length, WheelchairParking#location, WheelchairParking#width
distance to closest accessible entrance|access=yes, access:disabled=yes, door=yes, entrance=secondary, length=user defined, wheelchair=yes||Way to building|Accessible parking|distance to closest accessible entrance||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, WheelchairParking#distanceToEntrance, WheelchairParking#length, WheelchairParking#location, WheelchairParking#width
distance to doorway|door=yes, length=user defined||Building characteristics|Doorways|distance|||EquipmentProperties#door
distance to entrance|door=yes, entrance=secondary, length=user defined||Way to building|Way to public transport|distance to entrance|||
distance to front of water closet|length=user defined|water_closet=yes|Facility daily needs|Toilet / toilet compartment|toilet paper dispenser|distance to front of water closet||Restroom#toilet
distance to wall or partition|length=user defined, wall=yes||Facility daily needs|Toilet / toilet compartment|water closet|distance to wall or partition||
district heating as heat source|heating=district_heating|||||||
disturbed audibility||audibility=bad, inteference_source=considerable|General help for orientation / Technical assistance|Technology|audibility|disturbance through: …||
Do-it-Yourself-store, a large hardware and home improvement shop|shop=doityourself|||||||
doctor's office, a place to get medical attention or a check up from a physician|amenity=doctors|||||||
dogs need a muzzle|dog=designated, dog=leashed, dog=unleashed, dog=yes|dog=muzzle||||||AnimalPolicy#dogsNeedMuzzle
door for a loading dock|door=loadingdock|||||||EquipmentProperties#door
door handle||door:handle=yes|Building characteristics|Doorways|handle|||EquipmentProperties#door
door handle height|height=user defined|door:handle=yes|Building characteristics|Doorways|handle|height [6]||EquipmentProperties#door
door handle type: door opener||door:handle=door_opener|Building characteristics|Doorways|handle|type: door opener||EquipmentProperties#door
door handle type: handle||door:handle=handle|Building characteristics|Doorways|handle|type: handle||EquipmentProperties#door
door handle type: knob|door:handle=knob||Building characteristics|Doorways|handle|type: knob||EquipmentProperties#door
door handle type: push button; located at door side, height of position|door=yes, height=user defined|door:handle=push_button|Building characteristics|Doorways|handle|type: push button: door side, height||EquipmentProperties#door
door handle type: vertical bar||door:handle=vertical_bar|Building characteristics|Doorways|handle|type: vertical bar ||EquipmentProperties#door
door has 2 wings|door:wings=2||Building characteristics|Doorways|type [3]|double door system||EquipmentProperties#door, EquipmentProperties#hasDoorsInBothDirections
door in a building|building=yes, door=yes||Building characteristics|Doorways|where does the door lead to (venues connected)|building||EquipmentProperties#door
door itself is removed - entrance is hole in the wall|door=no|||||||Entrance#door, EquipmentProperties#door
door lock|door=yes, lockable=no, lockable=unknown, lockable=yes|door:lock=yes|Building characteristics|Doorways|door lock|||EquipmentProperties#door
door lock exists|door=yes, lockable=yes|door:lock=yes|Building characteristics|Doorways|door lock|existence [4]||EquipmentProperties#door
door lock height|door=yes, height=user defined, lockable=yes|door:lock=yes|Building characteristics|Doorways|door lock|height [7]||EquipmentProperties#door
door lock type|door=yes, lockable=yes|door:lock=user defined, door:lock=yes|Building characteristics|Doorways|door lock|type||EquipmentProperties#door
door opens in either way|door:opening=both|||||||EquipmentProperties#door, EquipmentProperties#hasDoorsInBothDirections
door opens to pressure on the floor in front of the door|automatic_door=floor|||||||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door
door opens when a sensor detects motion in front of the door|automatic_door=motion|||||||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door
door properties|door=yes|||||||EquipmentProperties#door
door sign|door=yes, ref=user defined|door:sign=yes, sign=door|General help for orientation / Technical assistance|Rooms / venues / offices|sign|door sign (e.g. classroom)||Restroom#signIcons
door sign (accessible entrance or nearest accessible entrance)|access=yes, access:disabled=yes, door=yes, entrance=yes, ref=user defined, wheelchair=yes|door:sign=accessible_entrance, sign=accessible_entrance|Building characteristics|Doorways|door signs|sign (accessible entrance or nearest accessible entrance)|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
door sign parallel to the wall / flag / not available||door:sign=flag, door:sign=parallel_to_wall, door:sign=unavailable, sign=door|Building characteristics|Doorways|door signs|parallel to the wall / flag / not available||
door sign width of the door plates in cm|width=user defined|door:sign=plates, sign=door|Building characteristics|Doorways|door signs|width of the door plates in cm||
door signs||door:sign=flag, sign=door|Building characteristics|Doorways|door signs|||Restroom#signIcons
door signs marking important doors||door:sign=flag, sign=door|Building characteristics|Doorways|door signs|marking of important doors||Door#hasClearMarkingOnGlassDoor, Restroom#signIcons
door threshold||threshold=door|Building characteristics|Doorways|door threshold|||EquipmentProperties#door
door threshold exists||threshold=door|Building characteristics|Doorways|door threshold|existence [5]||EquipmentProperties#door
door threshold height|height=user defined|threshold=door|Building characteristics|Doorways|door threshold|height [8]||EquipmentProperties#door
door threshold slope|incline=user defined, incline:across=user defined|threshold=door|Building characteristics|Doorways|door threshold|slope||Entrance#slopeAngle, EquipmentProperties#door, Ground#slopeAngle, Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
door to a garage|entrance=garage|||||||Entrance#door, EquipmentProperties#door
door to a private house, home or apartment|entrance=home|||||||Entrance#door, EquipmentProperties#door
door to staircase|entrance=staircase||Building characteristics|Doorways|access via staircase|||Entrance#door, Entrance#stairs, EquipmentProperties#door
doorbell / accessible doorbell|access=yes, access:disabled=yes, doorbell=yes, wheelchair=yes||Building characteristics|Doorways|doorbell / accessible doorbell||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility
doors in both directions|door=yes|||||||EquipmentProperties#hasDoorsInBothDirections
doorway access via ramp|access=yes, access:disabled=yes, door=yes, ramp=yes, rampDisability=yes, ramp:wheelchair=yes, wheelchair=yes||Building characteristics|Doorways|access via ramp||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility
doorway can be used independently|access=yes, access:disabled=yes, door=yes, wheelchair=yes||Building characteristics|Doorways|can be used independently|||EquipmentProperties#door
doorway is accessible, highly usable and safe to use, cause of risk|access=no, access=yes, access:disabled=bad, access:disabled=yes, door=yes, risk=high, usability=yes, wheelchair=yes||Building characteristics|Doorways|accessibility [1]|highly usable and safe to use, cause of risk|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility
doorway is wheelchair accessible|door=yes, wheelchair=yes||Building characteristics|Doorways|accessibility [1]|wheelchair accessible [2]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, EquipmentProperties#door, PlaceInfo#accessibility
doorway with handrail|door=yes, handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yes||Building characteristics|Doorways|handrail [1]|||EquipmentProperties#door
doorways are cause of risk|door=yes, risk=high||Building characteristics|Doorways|cause of risk|||EquipmentProperties#door
doorways with carpets / mats|door=yes, surface=carpet||Building characteristics|Doorways|carpets/mats|||EquipmentProperties#door
downwards|incline=down|||||||
dressing room|room=dressing|||||||StructuredAddress#room
dressmaker is a person who makes custom clothing for women, such as dresses, blouses, and evening gowns|craft=dressmaker|||||||
drinking fountain spout outlet max protruding into the circulation path|amenity=drinking_water, fountain=bubbler, fountain=bottle_refill, fountain=drinking, fountain=drinking_fountain, fountain=mist, fountain=nasone, fountain=nozzle, fountain=roman_wolf, fountain=splash_pad, fountain=stone_block, fountain=toret||Facility daily needs|Drinking fountain|spout outlet|max protruding into the circulation path||
drinking water in toilet / toilet compartment|amenity=drinking_water, amenity=toilets, building=toilets, room=toilet, toilets=yes||Facility daily needs|Toilet / toilet compartment|drinking water|||Restroom#toilet
drinking water source which provides potable water for consumption|amenity=drinking_water|||||||AnimalPolicy#suppliesWaterForPets
drive-through gate used in rural areas to provide a barrier to livestock that does not require the driver to exit the vehicle|barrier=bump_gate|||||||
drive-through way where customers can visit a business without leaving their cars|service=drive-through|||||||
dry salt lakes|surface=salt|||||||
drying room|room=drying|||||||StructuredAddress#room
duration is 2 hours and 3 minutes|duration=02:03|||||||
ease of operation of the controls|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, usability=yes||General help for orientation / Technical assistance|Technology|controls|ease of operation||
ease of operation of the facet: force|usability=yes|force=not_needed, force=needed|Facility daily needs|Toilet / toilet compartment|lavatories|ease of operation of the facet: force||
ease of operation of the facet: no tight grasping, pinching, or twisting of the wrist|usability=yes|grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|lavatories|ease of operation of the facet: no tight grasping, pinching, or twisting of the wrist||
ease of use of drinking fountain|fountain=bubbler, fountain=bottle_refill, fountain=drinking, fountain=drinking_fountain, fountain=mist, fountain=nasone, fountain=nozzle, fountain=roman_wolf, fountain=splash_pad, fountain=stone_block, fountain=toret, usability=yes||Facility daily needs|Drinking fountain|ease of use|||
ease of use of drinking fountain: no tight grasping, pinching, twisting of the wrist|fountain=bubbler, fountain=bottle_refill, fountain=drinking, fountain=drinking_fountain, fountain=mist, fountain=nasone, fountain=nozzle, fountain=roman_wolf, fountain=splash_pad, fountain=stone_block, fountain=toret, usability=yes|grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Drinking fountain|ease of use|no tight grasping, pinching, twisting of the wrist||
ease of use of the flush control: no tight grasping, pinching, or twisting of the wrist|toilets:disposal=flush, usability=yes|flush_control=accessible, grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|flush control|ease of use: no tight grasping, pinching or twisting of the wrist [2]||
ease of use of the hand dryers: no tight grasping, pinching, or twisting of the wrist|toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel, usability=yes|grasping=accessible, grasping=tight, pinching=no, pinching=yes, wrist_twisting=no, wrist_twisting=yes|Facility daily needs|Toilet / toilet compartment|hand dryers|ease of use: no tight grasping, pinching or twisting of the wrist [1]||
ease of use, force required to activate hand dryers|toilets:hands_drying=electric_hand_dryer, toilets:hands_drying=paper_towel, toilets:hands_drying=towel, usability=no|force=needed|Facility daily needs|Toilet / toilet compartment|hand dryers|ease of use: force required to activate||
ease of use, force required to use drinking fountain|fountain=bubbler, fountain=bottle_refill, fountain=drinking, fountain=drinking_fountain, fountain=mist, fountain=nasone, fountain=nozzle, fountain=roman_wolf, fountain=splash_pad, fountain=stone_block, fountain=toret, usability=no|force=needed|Facility daily needs|Drinking fountain|ease of use|force||
ease of use, force required to use flush control|toilets:disposal=flush, usability=no|flush_control=accessible, force=needed|Facility daily needs|Toilet / toilet compartment|flush control|ease of use: force||Restroom#toilet
ease of use, force to open the door|door=yes, usability=no|force=needed|Building characteristics|Doorways|weight|ease of use, force to open||Door#isEasyToHoldOpen, EquipmentProperties#door
ease of use, pressure, force needed to operate the door handle|door:handle=knob, door:handle=crash_bar, door:handle=ring, door:handle=lever, door:handle=hole, usability=no|force=needed|Building characteristics|Doorways|handle|ease of use, pressure, force [1]||EquipmentProperties#door
ease of use, pressure, force needed to operate the door lock|door=yes, lockable=yes, usability=no|force=needed|Building characteristics|Doorways|door lock|ease of use, pressure, force [2]||EquipmentProperties#door
easy to find / difficult to find / not available|door:handle=knob, door:handle=crash_bar, door:handle=ring, door:handle=lever, door:handle=hole, usability=no, usability=yes||Building characteristics|Doorways|handle|easy to find / difficult to find / not available||
easy to understand||understandable=yes||||||EquipmentProperties#isEasyToUnderstand
edit page url|url=user defined|||||||PlaceInfo#editPageUrl
educational institution designed for instruction, examination, or both, of students in many branches of advanced learning|amenity=university|||||||
effluent treatment|room=effluent treatment|||||||
electric lamp|lamp_type=electric|||||||
electric light source|light:method=electric|||||||
electric oven|oven=electric|||||||
electric remote controls|control=remote_electric|||||||
electrical power (measured in Watt) of this light source|light:power=100|||||||
electrically amplified audibility is good/bad|audibility=bad, audibility=electrical_amplified, audibility=good, audibility=medium||General help for orientation / Technical assistance|Technology|audibility|electrically amplified: good/bad||
electronic purses are accepted only at certain times|payment:electronis_purses=interval|||||||
electronic purses are is accepted|payment:electronic_purses=yes|||||||
electronic purses are not accepted|payment:electronic_purses=no|||||||
elevator (or lift) is used to travel vertically|highway=elevator, room=elevator, elevator=yes, elevator=lift, elevator=wheelchair||Change Elevation|Elevator|direction [1]|vertical [1]||
elevator (or lift) is used to travel vertically, location is unknown|elevator=yes|||||||
elevator / lift call button (outside / exterior operating elements): axial height in cm|button_operated=only, button_operated=yes, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|lift call button (outside): axial height in cm||EquipmentProperties#heightOfControls
elevator / lift call button (outside / exterior operating elements): call button at least 50 cm away from the next room corner: yes/no|button_operated=only, button_operated=yes, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined||Change Elevation|Elevator|exterior operating elements|lift call button (outside): call button at least 50 cm away from the next room corner: yes/no||
elevator / lift call button (outside / exterior operating elements): side|button_operated=only, button_operated=yes, elevator=yes, highway=elevator, room=elevator, side=both, side=left, side=right||Change Elevation|Elevator|exterior operating elements|lift call button (outside): side||
elevator call buttons|button_operated=only, button_operated=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|call buttons|||
elevator design|elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|design|||
elevator door|door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door|||EquipmentProperties#door
elevator door is a swinging door|door=hinged, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|swinging||EquipmentProperties#door, EquipmentProperties#hasDoorsInBothDirections
elevator door opens when a sensor detects motion in front of the door|automatic_door=motion, door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|sensor light barrier|||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door
elevator door type|door=folding, door=hinged, door=loadingdock, door=no, door=overhead, door=revolving, door=sliding, door=trapdoor, door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|||EquipmentProperties#door
elevator exterior operating elements|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|||
elevator exterior operating elements: visual floor detection in front of lift: yes/no|automatic_door=floor, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|visual floor detection in front of lift: yes/no||
elevator floor display|display=digital, elevator=yes, highway=elevator, room=elevator|display=elevator_floor_display|Change Elevation|Elevator|floor number sign|elevator floor display||
elevator floor number sign|elevator=yes, highway=elevator, room=elevator|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|||
elevator floor number sign exists|elevator=yes, highway=elevator, room=elevator|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|existence [9]||
elevator floor number sign written in raised text|elevator=yes, highway=elevator, room=elevator, tactile_writing:embossed_printed_letters:lg=yes|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|raised text [2]||EquipmentProperties#hasRaisedText
elevator floor number sign: tactile star|elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|tactile star||
elevator function|elevator=yes, highway=elevator, room=elevator|elevator=functioning|Change Elevation|Elevator|function|||
elevator functions: yes / out of service|elevator=yes, highway=elevator, room=elevator|elevator=functioning, elevator=out_of_service|Change Elevation|Elevator|function|yes / out of service||
elevator has more than one door|elevator=yes, highway=elevator, room=elevator|rectifier=yes|Change Elevation|Elevator|design|rectifier||
elevator has one door|elevator=yes, highway=elevator, room=elevator|elevator=loader|Change Elevation|Elevator|design|loader||
elevator in-car controls / equipment|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|||Entrance#elevatorEquipmentId
elevator in-car controls / equipment operation: Euro keys / push buttons - switches / personnel|button_operated=yes, button_operated=no, button_operated=only, button_operated=optional, button_operated=defect, button_operated=not_only, button_operated=sometimes, dnetralkey=eurokey, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator, switch=circuit_breaker, switch=disconnector, switch=earthing, switch=mechanical||Change Elevation|Elevator|in-car controls / equipment|operation: Euro keys / push buttons - switches / personnel||Door#needsEuroKey
elevator in-car controls / equipment: visual floor detection in the elevator|elevator=yes, highway=elevator, room=elevator|floor_detection=visual|Change Elevation|Elevator|in-car controls / equipment|visual floor detection: in the elevator||
elevator in-car controls are centered on a side wall|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, side=left, side=right||Change Elevation|Elevator|in-car controls / equipment|centered on a side wall||
elevator in-car controls/equipment are accessible|access=yes, access:disabled=yes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|accessibility  |Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
elevator is wheelchair accessible|wheelchair=yes, elevator=wheelchair||Change Elevation|Elevator|accessibility [2]|wheelchair accessible [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
elevator side door open (if more than 1 door)|door=yes, door:opening=both, door:opening=inside, door:opening=outside, elevator=yes, entrance=secondary, highway=elevator, room=elevator, side=both, side=left, side=right||Change Elevation|Elevator|door|side door open (if more than 1 door)||Entrance#door, EquipmentProperties#door
elevator sliding door|door=sliding, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|sliding||EquipmentProperties#door
