Name|Semantic tags|OSM tag|OSM tag proposal|AccessibleMaps Categories|AccessibleMaps Entities|AccessibleMaps Property|AccessibleMaps Sub-Property|A11yJSON tag|A11yJSON property
width of maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|<DOOR>|door=yes, wheelchair=yes, width=user defined||Building characteristics|Doorways|maneuvering clearance (clear floor space) on both sides of the door (pull/push): size (level no steeper than 1:48)|width [4]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, Restroom#turningSpaceInside, Room#isAccessibleWithWheelchair
lever allows to open or close a door or a valve|<DOOR> <OBJ>|door:handle=lever, handle=lever|||||||EquipmentProperties#door
doorways are cause of risk|<DOOR> <WARN>|door=yes, risk=high||Building characteristics|Doorways|cause of risk|||EquipmentProperties#door
access to elevator|<ELV>|access=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|access [2]|||
access keys for elevator|<ELV>|access=private, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|access [2]|keys||
accessible elevator|<ELV>|access=yes, access:disabled=yes, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, wheelchair=yes||Change Elevation|Elevator|accessibility [2]||Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility, Room#isAccessibleWithWheelchair
acoustic signals: elevator arrival signal / no|<ELV>|Acoustic guide=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=no, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=arrival_signals, acoustic_signals=no|Change Elevation|Elevator|exterior operating elements|acoustic signals: arrival signal / no||
area of movement (outside the elevator): width / depth in cm|<ELV>|elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Elevator|dimensions outside|area of movement (outside): width / depth in cm||Ground#turningSpace, Media#turningSpaceInFront
audible signals about floor: arrival signal / no|<ELV>|Acoustic guide=no, Acoustic guide=yes, audio=yes, audio_anouncement=no, audio_anouncement=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=arrival_signals, acoustic_signals=no|Change Elevation|Elevator|in-car controls / equipment|audible signals about floor: arrival signal / no||
audible signals about floor: floor announcement: clear / unclear|<ELV>|Acoustic guide=no, Acoustic guide=yes, audio=yes, audio_anouncement=no, audio_anouncement=yes, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, sound=yes, sound_level=high, sound_level=low, sound_level=medium|acoustic_signals=clear, acoustic_signals=unclear|Change Elevation|Elevator|in-car controls / equipment|audible signals about floor: floor announcement: clear / unclear||EquipmentProperties#hasSpeech
barrier-free controls in elevator|<ELV>|access=yes, access:disbaled=bad, access:disabled=designated, access:disabled=no, access:disabled=only, access:disabled=permissive, access:disabled=private, acces:disabled=yes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|completely barrier-free and unrestricted use: yes / partially / no||EquipmentProperties#heightOfControls, PlaceInfo#accessibility
clear floor space by the elevator door|<ELV>|door=sliding, door=yes, elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Elevator|door|dimension (clear floor area)||Door#turningSpaceInFront, EquipmentProperties#door, Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
clear floor space on a platform lift|<ELV>|elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Platform lift|clear floor space [2]|existence [10]||Ground#turningSpace, Media#turningSpaceInFront, PlaceInfo#accessibility
dimension of stairs|<ELV>|highway=steps, height=user defined, length=user defined, room=stairs, width=user defined||Change Elevation|Stairs|dimension [3]|||Stairs#count, Stairs#stepHeight
dimension of the clear floor space on a platform lift|<ELV>|elevator=lift, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|clear_floor_space=yes|Change Elevation|Platform lift|clear floor space [2]|dimensions [1]||Ground#turningSpace, Media#turningSpaceInFront
dimensions inside elevator|<ELV>|elevator=lift, elevator=yes, height=user defined, length=user defined, width=user defined||Change Elevation|Elevator|dimensions inside|||
dimensions outside the elevator|<ELV>|elevator=lift, elevator=yes, height=user defined, length=user defined, width=user defined||Change Elevation|Elevator|dimensions outside|||
direction of elevator|<ELV>|direction=backward, directio=down, direftion=forward, direction=up, elevator=lift, elevator=yes, level=user defined||Change Elevation|Elevator|direction [1]|||
direction of platform lift|<ELV>|direction=backward, direction=down, direction=forward, direction=up, elevator=lift, elevator=yes, level=user defined||Change Elevation|Platform lift|direction [2]|||
directions to adjacent escalator(s)|<ELV>|direction=backward, direction=down, direction=forward, direction=up, escalator=no, escalator=parallel, escalator=yes||Change Elevation|Escalators|directions to adjacent escalator(s)|||
elevator (or lift) is used to travel vertically|<ELV>|highway=elevator, room=elevator, elevator=yes, elevator=lift, elevator=wheelchair||Change Elevation|Elevator|direction [1]|vertical [1]||
elevator (or lift) is used to travel vertically, location is unknown|<ELV>|elevator=yes|||||||
elevator / lift call button (outside / exterior operating elements): axial height in cm|<ELV>|button_operated=only, button_operated=yes, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|lift call button (outside): axial height in cm||EquipmentProperties#heightOfControls
elevator / lift call button (outside / exterior operating elements): call button at least 50 cm away from the next room corner: yes/no|<ELV>|button_operated=only, button_operated=yes, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined||Change Elevation|Elevator|exterior operating elements|lift call button (outside): call button at least 50 cm away from the next room corner: yes/no||
elevator / lift call button (outside / exterior operating elements): side|<ELV>|button_operated=only, button_operated=yes, elevator=yes, highway=elevator, room=elevator, side=both, side=left, side=right||Change Elevation|Elevator|exterior operating elements|lift call button (outside): side||
elevator call buttons|<ELV>|button_operated=only, button_operated=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|call buttons|||
elevator design|<ELV>|elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|design|||
elevator door|<ELV>|door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door|||EquipmentProperties#door
elevator door is a swinging door|<ELV>|door=hinged, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|swinging||EquipmentProperties#door, EquipmentProperties#hasDoorsInBothDirections
elevator door opens when a sensor detects motion in front of the door|<ELV>|automatic_door=motion, door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|sensor light barrier|||Door#isAutomaticOrAlwaysOpen, EquipmentProperties#door
elevator door type|<ELV>|door=folding, door=hinged, door=loadingdock, door=no, door=overhead, door=revolving, door=sliding, door=trapdoor, door=yes, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|||EquipmentProperties#door
elevator exterior operating elements|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|||
elevator exterior operating elements: visual floor detection in front of lift: yes/no|<ELV>|automatic_door=floor, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|visual floor detection in front of lift: yes/no||
elevator floor display|<ELV>|display=digital, elevator=yes, highway=elevator, room=elevator|display=elevator_floor_display|Change Elevation|Elevator|floor number sign|elevator floor display||
elevator floor number sign|<ELV>|elevator=yes, highway=elevator, room=elevator|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|||
elevator floor number sign exists|<ELV>|elevator=yes, highway=elevator, room=elevator|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|existence [9]||
elevator floor number sign written in raised text|<ELV>|elevator=yes, highway=elevator, room=elevator, tactile_writing:embossed_printed_letters:lg=yes|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|raised text [2]||EquipmentProperties#hasRaisedText
elevator floor number sign: tactile star|<ELV>|elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|tactile star||
elevator function|<ELV>|elevator=yes, highway=elevator, room=elevator|elevator=functioning|Change Elevation|Elevator|function|||
elevator functions: yes / out of service|<ELV>|elevator=yes, highway=elevator, room=elevator|elevator=functioning, elevator=out_of_service|Change Elevation|Elevator|function|yes / out of service||
elevator has more than one door|<ELV>|elevator=yes, highway=elevator, room=elevator|rectifier=yes|Change Elevation|Elevator|design|rectifier||
elevator has one door|<ELV>|elevator=yes, highway=elevator, room=elevator|elevator=loader|Change Elevation|Elevator|design|loader||
elevator in-car controls / equipment|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|||Entrance#elevatorEquipmentId
elevator in-car controls / equipment operation: Euro keys / push buttons - switches / personnel|<ELV>|button_operated=yes, button_operated=no, button_operated=only, button_operated=optional, button_operated=defect, button_operated=not_only, button_operated=sometimes, dnetralkey=eurokey, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, room=elevator, switch=circuit_breaker, switch=disconnector, switch=earthing, switch=mechanical||Change Elevation|Elevator|in-car controls / equipment|operation: Euro keys / push buttons - switches / personnel||Door#needsEuroKey
elevator in-car controls / equipment: visual floor detection in the elevator|<ELV>|elevator=yes, highway=elevator, room=elevator|floor_detection=visual|Change Elevation|Elevator|in-car controls / equipment|visual floor detection: in the elevator||
elevator in-car controls are centered on a side wall|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator, side=left, side=right||Change Elevation|Elevator|in-car controls / equipment|centered on a side wall||
elevator in-car controls/equipment are accessible|<ELV>|access=yes, access:disabled=yes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|accessibility  |Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
elevator is wheelchair accessible|<ELV>|wheelchair=yes, elevator=wheelchair||Change Elevation|Elevator|accessibility [2]|wheelchair accessible [1]|Accessibility#accessibleWith.wheelchair == true|Accessibility#accessibleWith.wheelchair, PlaceInfo#accessibility
elevator side door open (if more than 1 door)|<ELV>|door=yes, door:opening=both, door:opening=inside, door:opening=outside, elevator=yes, entrance=secondary, highway=elevator, room=elevator, side=both, side=left, side=right||Change Elevation|Elevator|door|side door open (if more than 1 door)||Entrance#door, EquipmentProperties#door
elevator sliding door|<ELV>|door=sliding, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|door type|sliding||EquipmentProperties#door
elevator with handle on at least 1 side: yes/no|<ELV>|elevator=yes, handrail=both, handrail=center, handrail=left handrail=multiple, handrail=rigth, handrail=yes, handrail:center=no, handrail:center=yes, handrail:left=no, handrail:left=yes, handrail:right=no, handrail:right=yeshighway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|handle on at least 1 side: yes/no||
elevator with mirror opposite the door|<ELV>|elevator=yes, highway=elevator, material=mirror, room=elevator||Change Elevation|Elevator|mirror (opposite the door)|||EquipmentProperties#door, Mirror#heightFromGround, Mirror#isAccessibleWhileSeated
emergency call board in the elevator: yes / no / tactile detectable|<ELV>|elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes|emergency_call_board=no, emergency_call_board=tactile_detectabel, emergency_call_board=yes|Change Elevation|Elevator|in-car controls / equipment|emergency call board in the elevator: yes / no / tactile detectable||
end door of platform lift|<ELV>|door=yes, elevator=lift, elevator=yes, highway=elevator, room=elevator,|door=end|Change Elevation|Platform lift|type of door|end||
floor display in the elevator: yes / no / tactile detectable|<ELV>|display=analog, display=digital, display=no, elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=yes, tactile_writing:computer_braille=yes, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=yes||Change Elevation|Elevator|in-car controls / equipment|floor display in the elevator: yes / no / tactile detectable||
floor number sign on both door jambs of elevator|<ELV>|elevator=yes, highway=elevator, ref=user defined, room=elevator|location=door_jamb, sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|location: both door jambs||
floors are accessible from the elevator|<ELV>|elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Elevator|access [2]|accessible floors||PlaceInfo#accessibility
folding seat in elevator|<ELV>|elevator=yes, highway=elevator, room=elevator, seats=user defined|seats=folding|Change Elevation|Elevator|in-car controls / equipment|folding seat||
freight elevator|<ELV>|elevator=yes, freight=yes, highway=elevator, room=elevator||Change Elevation|Elevator|type [7]|freight elevator||
full size elevator, LULA|<ELV>|elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|elevator=full_size, elevator=LULA|Change Elevation|Elevator|type [7]|full size, LULA||
height of elevator call buttons|<ELV>|button_operated=only, button_operated=yes, elevator=yes, heigth=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|call buttons|height [13]||EquipmentProperties#heightOfControls
height of elevator door|<ELV>|door=yes, elevator=yes, heigth=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|door|height [14]||EquipmentProperties#door
height of elevator exterior operating elements|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|exterior operating elements|height [16]||EquipmentProperties#heightOfControls
height of elevator floor number sign|<ELV>|elevator=yes, heigth=user defined, highway=elevator, room=elevator|sign=floor_number, sign=yes|Change Elevation|Elevator|floor number sign|height [18]||
height of elevator in-car controls / equipment|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|height [17]||EquipmentProperties#heightOfControls
height of elevator sensor light barrier|<ELV>|automatic_door=motion, elevator=yes, heigth=user definedhighway=elevator, room=elevator, sensor:type=motion|sensor:type=light_barrier|Change Elevation|Elevator|sensor light barrier|height [15]||PlaceInfo#accessibility
height of platform lift controls|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=wheelchair, elevator=yes, heigth=user defined, highway=elevator, room=elevator|height:platform_lift_controls=user defined|Change Elevation|Platform lift|lift controls|height [19]||EquipmentProperties#heightOfControls
horizontal / vertical elevator in-car controls / equipment|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, highway=elevator, horizontal=yes, room=elevator||Change Elevation|Elevator|in-car controls / equipment|horizontal / vertical||
horizontal direction of elevator|<ELV>|elevator=yes, highway=elevator, horizontal=yes, room=elevator|elevator=horizontal|Change Elevation|Elevator|direction [1]|horizontal [1]||
horizontal direction of platform lift|<ELV>|elevator=lift, elevator=yes, highway=elevator, horizontal=yes, room=elevator|elevator=horizontal|Change Elevation|Platform lift|direction [2]|horizontal [2]||
horse stables room|<ELV>|room=horse|||||||
ID of elevator equipment|<ELV>|elevator=yes|ID=user defined, equipment=elevator||||||Entrance#elevatorEquipmentId, EquipmentProperties#originalId, PlaceInfo#creatorId, PlaceInfo#originalId
length / dimensions inside elevator|<ELV>|elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined||Change Elevation|Elevator|dimensions inside|length [3]||
levels connected through elevator|<ELV>|highway=elevator; level=user defined||Change Elevation|Elevator|levels connected|||
location of control panel inside the elevator|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=yes, height=user defined, highway=elevator, length=user defined, room=elevator, width=user defined|location:description:lg=user defined|Change Elevation|Elevator|in-car controls / equipment|location of control panel inside the elevator||EquipmentProperties#heightOfControls, PlaceInfo#description
location of elevator|<ELV>|elevator=yes, highway=elevator, location=bridge, location=indoor, location=outdoor, location=overground, location=overhead, location=roof, location=rooftop, location=surface, location=underground, location=underwater, room=elevator|location:description:lg=user defined|Change Elevation|Elevator|existence, location|||PlaceInfo#description
number of elevators|<ELV>|elevator=yes, highway=elevator, number=user defined, room=elevator|elevator:number=user defined|Change Elevation|Elevator|number of elevators|||
opening hours of elevator|<ELV>|elevator=yes, highway=elevator, opening_hours=Mo-Fr 08:00-12:00,13:00-17:30; Sa 08:00-12:00; PH off, room=elevator||Change Elevation|Elevator|opening hours [2]|||
opening width of elevator door|<ELV>|door=yes, elevator=yes, highway=elevator, room=elevator, width=user defined|door=elevator|Change Elevation|Elevator|door|opening width [1]||Door#width
passenger elevator|<ELV>|elevatoe=yes, highway=elevator, room=elevator|elevator=passenger|Change Elevation|Elevator|type [7]|passenger elevator||
platform lift controls|<ELV>|control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, control=manual;remote, control=remote, control=remote_electric, control=spring, elevator=lift, elevator=yes, highway=elevator, room=elevator|control=platform_lift|Change Elevation|Platform lift|lift controls|||
platform lift door opening width|<ELV>|door=yes, elevator=lift, elevator=yes, highway=yes, room=elevator, width=user defined|door=elevator, door:width=user defined|Change Elevation|Platform lift|door opening width|||Door#width, EquipmentProperties#door
platform lift is used to travel vertically|<ELV>|elevator=lift, elevator=wheelchair, elevator=yes, highway=elevator, room=elevator||Change Elevation|Platform lift|direction [2]|vertical [2]||
platform lift, can it be used w/a assistance from others?|<ELV>|elevator=lift, elevator=yes, highway=elevator, room=elevator|usable=without_assistence|Change Elevation|Platform lift|accessibility [3]|can it be used w/a assistance from others?||
public / restricted access to elevator|<ELV>|access=customers, access=delivery, access=designated, access=destination, access=discouraged, access=dismount, access=permissive, access=permit, access=private, access=no, access=unknown, access=use_sidepath, access=yes, elevator=yes, highway=yes, room=elevator||Change Elevation|Elevator|access [2]|public / restricted [1]||
room ID states elevator existence / location|<ELV>|elevator=yes, highway=elevator, ref=user defined, room=elevator||Change Elevation|Elevator|existence, location|room ID's||EquipmentProperties#originalId, EquipmentProperties#originalPlaceInfoId, EquipmentProperties#placeInfoId, PlaceInfo#creatorId, PlaceInfo#originalId, StructuredAddress#room, StructuredAddress#text
side door of a platform lift|<ELV>|door=yes, elevator=lift, elevator=yes, entrance=secondary, highway=elevator, room=elevator||Change Elevation|Platform lift|type of door|side door||Entrance#door, EquipmentProperties#door
tactile and visible elevator exterior operating elements|<ELV>|button_operated=yes, button_operated=no, button_operated=only, button_operated=optional, button_operated=defect, button_operated=not_only, button_operated=sometimes, control=automatic;remote, control=buttons, control=manual, control=manual;local, control=manual_locked, elevator=yes, highway=elevator, room=elevator, tactile_writing:braille:lg=no, tactile_writing:braille:lg=yes, tactile_writing:computer_braille:lg=no, tactile_writing:computer_braille:lg=yes, tactile_writing:embossed_printed_letters:lg=no, tactile_writing:embossed_printed_letters:lg=yes, tactile_writing:engraved_printed_letters:lg=no, tactile_writing:engraved_printed_letters:lg=yes, tactile_writing:fakoo:lg=no, tactile_writing:fakoo:lg=yes, tactile_writing:moon:lg=no, tactile_writing:moon:lg=yes|control=tactile, control=visible|Change Elevation|Elevator|exterior operating elements|tactile and visible||Media#isBraille
there is no elevator|<ELV>|elevator=no|||||||
type of elevator|<ELV>|elevator=entrance, elevator=lift, elevator=no, elevator=only, elevator=wheelchair, elevator=yes|elevator=user defined, elevator:<type>=yes|Change Elevation|Elevator|type [7]|||
width of elevator inside dimensions|<ELV>|elevator=yes, highway=elevator, length=user defined, room=elevator, width=user defined||Change Elevation|Elevator|dimensions inside|width [8]||
type of door from platform lift|<ELV> <DOOR>|automatic_door=button, automatic_door=continuous, automatic_door=slowdown_button, automatic_door=motion, automatic_door=floor, door=folding, door=hinged, door=loadingdock, door=no, door=overhead, door=revolving, door=sliding, door=trapdoor, door=yes, door:handle=crash_bar, door:handle=knob, door:handle=lever, door:handle=hole, door:handle=ring, door:opening=both, door:opening=inside, door:opening=outside, door:wings=user defined, doorbell=mandatory, doorbell=yes, elevator=lift, elevator=yes, highway=elevator, room=elevator||Change Elevation|Platform lift|type of door|||EquipmentProperties#door
distance from barrier-free access to the elevator in m|<ELV> <NAV>|access=yes, elevator=yes, highway=elevator, lenght=user defined, room=elevator||Building characteristics|Doorways|distance|distance from barrier-free access to the elevator in m||PlaceInfo#accessibility
alarm in the 2-sense system, i.e. audiovisual|<EMG>|emergency=siren, light_source=warning, sensor:triggers=alarm, sensor:triggers=light|emergency=2-sense|Security|Escape route|alarm in the 2-sense system|||
ambulance station is a structure or other area set aside for storage of ambulance vehicles, medical equipment, personal protective equipment, and other medical supplies|<EMG>|ambulance_station|||||||
Circuit-breaker is the only kind of power switch which offers enough protection (safety) against abnormal power currents and can be operated when bound circuit is loaded|<EMG>|switch=circuit_breaker|||||||
collection of supplies and equipment that is used to give medical treatment|<EMG>|emergency=first_aid_kit|||||||
Defibrillator, an external and portable electronic device that diagnoses and can correct arrhythmia of the heart automatically (aka Automated External Defibrillator, AED)|<EMG>|emergency=defibrillator|||||||
designated (safe) place where people can gather or must report to during an emergency or a fire drill|<EMG>|emergency=assembly_point|||||||
device used for notifying a fire department of a fire|<EMG>|emergency=fire_alarm_box|||||||
disconnector is capable to open circuits when a negligible current have to be broken|<EMG>|switch=disconnector|||||||
emergency call center|<EMG>|room=emergency call center|||||||
Emergency telephone|<EMG>|emergency=phone|||||||EquipmentProperties#servicePhoneNumber
emergency/alarm boxes|<EMG>|emergency=fire_alarm_box||General help for orientation / Technical assistance|Technology|controls|emergency/alarm boxes||
facility that provides drinking water in emergency situations|<EMG>|emergency=drinking_water|||||||AnimalPolicy#suppliesWaterForPets
fire alarm systems with audible signals|<EMG>|emergency=siren||Security|Fire alarm systems|audible signals|||
fire alarm systems with flashing lights signals|<EMG>|light:category=emergency, light:flash=pattern, light:flash=random, light:flash=yes||Security|Fire alarm systems|flashing lights signals|||
fire extinguisher|<EMG>|emergency=fire_extinguisher||Security|Fire protection|fire extinguisher|||
fire hose|<EMG>|emergency=fire_hose||Security|Fire protection|fire hose|||
Fire point stand (fire cabinet) presents on the territory of any enterprise and public place. It's often equipped with one or two carbon dioxide type fire extinguishers, pike pole, shovel, bar, fire-arresting sheet, hatchet, and buckets|<EMG>|emergency=fire_point_stand|||||||
fire sand storage bin designed for the bulk storage of fire sand|<EMG>|emergency=fire_sand_bin|||||||
first aid kit in relaxation room|<EMG>|emergency=first_aid_kit, room=relaxation||Facility daily needs|Relaxation room|first aid kit|||
floating ring to throw out to someone who is struggling in water|<EMG>|emergency=life_ring|||||||
high contrast emergency call in toilet / toilet compartment: yes / no|<EMG>|amenity=toilets, building=toilets, room=toilet, toilets=yes|emergency_call=no, emergency_call=yes, high_contrast=yes|Facility daily needs|Toilet / toilet compartment|emergency call|high-contrast: yes / no||EquipmentProperties#isHighContrast, Restroom#toilet
high-pressure hose used to carry water or other fire retardant (such as foam) to a fire to extinguish it|<EMG>|emergency=fire_hose|||||||
illumination of the signs along escape route|<EMG>|entrance=emergency, exit=emergency|sign=illumination, sign=yes|Security|Escape route|illumination of the signs|||
large water basin or tank for a fire department to take water|<EMG>|emergency=water_tank|||||||
marine rescue station|<EMG>|emergency=marine_rescue|||||||
mountain rescue base for a team providing search and rescue services in mountainous environments|<EMG>|emergency=mountain_rescue|||||||
place where a lifeguard is on duty|<EMG>|emergency=lifeguard|||||||
point to which firefighters can connect a pressurized water source|<EMG>|emergency=dry_riser_inlet|||||||
shower for use in emergency situations|<EMG>|emergency=shower|||||||Restroom#hasShower, Restroom#shower, Shower#hasErgonomicHandle, Shower#hasShowerSeat, Shower#hasSupportRails, Shower#isLevel, Shower#showerSeatIsFolding, Shower#showerSeatIsRemovable, Shower#step, Shower#supportRailsAreAboveAndBelowControls, Shower#supportRailsHeight
sign number which can be used to define your current position in case of an emergency|<EMG>|emergency=access_point|||||||
loud noise maker, such as an air raid siren or a tornado siren|<EMG> <AUDIO>|emergency=siren|||||||
escape routes|<EMG> <NAV>|entrance=emergency, exit=emergency||Building characteristics|Floor (pathway)|escape routes|||EquipmentProperties#alternativeRouteInstructions
axial height of the lowest knob in cm in the elevator|<ELV>|elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|axial height of the lowest knob in cm||EquipmentProperties#heightOfControls
axial height of the top button in cm in the elevator|<ELV>|button_operated=yes, elevator=lift, elevator=wheelchair, elevator=yes, height=user defined, highway=elevator, room=elevator||Change Elevation|Elevator|in-car controls / equipment|axial height of the top button in cm:||EquipmentProperties#heightOfControls
gas as heat source|<HEAT>|heating=gas|||||||
heat source radiator|<HEAT>|heating=radiator, heating=yes, room=heating, room=heating system||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|heat source radiator||
heating burner|<HEAT>|heating=district_heating, heating=fireplace, heating=gas, heating=stove, heating=yes||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|heating burner||
heating panels|<HEAT>|heating=district_heating, heating=fireplace, heating=gas, heating=radiator, heating=stove, heating=yes||General help for orientation / Technical assistance|Rooms / venues / offices|machine or device|heating panels||
heating room|<HEAT>|room=heating|||||||StructuredAddress#room
heating system|<HEAT>|room=heating system|||||||
radiator as heat source|<HEAT>|heating=radiator|||||||
stove as heat source|<HEAT>|heating=stove|||||||
there is heating|<HEAT>|heating=yes|||||||
average incline|<ICL>|incline:avg=15%, incline:avg=10°|||||||Pathways#maxLongitudinalSlope
incline by 10 degree|<ICL>|incline=10°, incline:across=10°, incline:avg=10°|||||||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
incline by 15 percent|<ICL>|incline=15%, incline:across=15%, incline:avg=15%|||||||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
downwards incline|<ICL>|incline=down|||||||
ground is level|<ICL>|incline=0°, incline=0%, incline:across=0°, incline:across=0%, step_count=0|||||||Ground#isLevel, Shower#isLevel
incline steepness|<ICL>|incline=down, incline=up, incline=user defined, incline:accross=down, incline:accross=sag, incline:accross=user defined, incline:avg=user defined|||||||Pathways#maxLateralSlope, Pathways#maxLongitudinalSlope
ramp in corridor|<ICL>|highway=corridor, ramp=yes||Change in Ground Height|Ramp|where to|interior -> ramp in corridor||
